env_id,obs_mode,num_runs,known_best_score,best_score_mean,best_score_std,best_score_max,best_hns_mean,best_hns_std,best_hns_max,steps_mean,episodes_mean
Centipede-v5,native_obs,3,1159049.27,36599.333333333336,7486.330535642204,44458.0,3.4765349264397227,0.7542066406385391,4.268252385126082,10950942.333333334,1282.0
Centipede-v5,ram,3,1159049.27,35104.666666666664,4952.222015306754,38967.0,3.325955477646474,0.49890914007583576,3.715064325364443,14038356.0,1631.6666666666667
ChopperCommand-v5,native_obs,3,999900.0,6100.0,3894.4404818493076,11600.0,0.8041904877752097,0.592148230423505,1.6404634472691886,13629536.0,4957.666666666667
ChopperCommand-v5,ram,3,999900.0,3133.3333333333335,1347.4255287605158,4800.0,0.3531099217451243,0.20487555175169012,0.606525970076633,14246807.333333334,4775.666666666667
CrazyClimber-v5,native_obs,3,729482.83,7900.0,3484.250278036869,12800.0,-0.11499506964377676,0.13909793555952035,0.0806223027757706,21812105.333333332,746.3333333333334
CrazyClimber-v5,ram,3,729482.83,22166.666666666668,13367.705695277538,37000.0,0.4545575520947693,0.5336643802832675,1.0467325910519025,15855667.333333334,688.0
Defender-v5,native_obs,3,839642.95,15850.0,10945.851573389193,29750.0,0.8204863921489275,0.6921446007050024,1.6994321630918654,8616719.333333334,1129.6666666666667
Defender-v5,ram,3,839642.95,12133.333333333334,10098.707288009138,26250.0,0.5854685181438014,0.638576695164479,1.4781148826386077,7865577.333333333,762.6666666666666
DemonAttack-v5,native_obs,3,143964.26,10718.333333333334,1832.2678722161659,13120.0,5.809133725511756,1.0073494266953462,7.129528836109736,17220711.666666668,1670.6666666666667
DemonAttack-v5,ram,3,143964.26,4448.333333333333,3589.97756105646,9525.0,2.3619953451719904,1.9737080439037111,5.153059541481115,20033275.0,1681.6666666666667
DoubleDunk-v5,native_obs,3,24.0,1.3333333333333333,0.9428090415820634,2.0,9.06060606060605,0.42854956435548297,9.363636363636353,20029191.666666668,569.0
DoubleDunk-v5,ram,3,24.0,9.333333333333334,10.370899457402697,24.0,12.696969696969681,4.71404520791031,19.36363636363634,20280398.0,1006.0
Enduro-v5,native_obs,3,2382.44,108.66666666666667,20.805982045769646,138.0,0.12628316870036801,0.024178944852724742,0.16037187681580475,19432913.333333332,1428.3333333333333
Enduro-v5,ram,3,2382.44,92.33333333333333,57.62136949276911,173.0,0.1073019562269998,0.06696266065400244,0.2010459035444509,14034735.666666666,1049.6666666666667
FishingDerby-v5,native_obs,3,91.16,-53.333333333333336,39.177658032211276,0.0,0.7238993710691823,0.7392010949473825,1.730188679245283,1322021.6666666667,190.0
FishingDerby-v5,ram,3,91.16,-25.0,18.547236990991408,-9.0,1.258490566037736,0.34994786775455483,1.560377358490566,14073257.333333334,1897.3333333333333
Freeway-v5,native_obs,3,34.0,29.333333333333332,2.0548046676563256,32.0,0.990990990990991,0.06941907661001093,1.081081081081081,14241807.333333334,1736.6666666666667
Freeway-v5,ram,3,34.0,30.0,1.4142135623730951,32.0,1.0135135135135134,0.0477774852153072,1.081081081081081,13526325.0,1651.3333333333333
Frostbite-v5,native_obs,3,631378.53,1583.3333333333333,1252.8722556146292,3270.0,0.3555763750634345,0.29344706771627344,0.7506265370652302,7725454.0,1552.3333333333333
Frostbite-v5,ram,3,631378.53,1186.6666666666667,1296.3624321753373,3020.0,0.2626693211539212,0.30363331354381945,0.6920716711558731,13496586.0,3300.0
Gopher-v5,native_obs,3,130345.58,2860.0,690.7001278895688,3800.0,1.2076662490138754,0.3205253737480017,1.6438813866072672,13574176.666666666,1289.3333333333333
Gopher-v5,ram,3,130345.58,5766.666666666667,5778.035037007727,13920.0,2.5565300787352854,2.6813471794550683,6.340154995591442,8107751.666666667,1010.6666666666666
Gravitar-v5,native_obs,3,21068.03,2100.0,1046.4224768228175,3300.0,0.606279889252454,0.329229321930159,0.9838283413038006,20033330.0,6147.333333333333
Gravitar-v5,ram,3,21068.03,1583.3333333333333,942.8090415820634,2250.0,0.44372430573034644,0.2966300785244347,0.6534734457588723,8026059.666666667,3065.3333333333335
Hero-v5,native_obs,3,114736.26,3311.6666666666665,2816.2751207145147,6940.0,0.07666821032190806,0.0945077793752396,0.19842681396269723,7449998.0,1672.3333333333333
Hero-v5,ram,3,114736.26,5945.0,2103.651587121784,7440.0,0.16503687993717994,0.07059375648911669,0.21520567528205264,14653540.0,331.3333333333333
IceHockey-v5,native_obs,3,86.89,6.666666666666667,5.436502143433364,11.0,1.4765840220385675,0.44929769780441015,1.8347107438016528,14410603.333333334,1012.0
IceHockey-v5,ram,3,86.89,3.3333333333333335,2.8674417556808756,7.0,1.2011019283746556,0.2369786574942872,1.5041322314049586,14429461.666666666,1081.0
Jamesbond-v5,native_obs,3,158142.36,2383.3333333333335,1991.7886991903088,5200.0,8.598733869004139,7.2746117574518205,18.886048210372532,21245708.0,3613.3333333333335
Jamesbond-v5,ram,3,158142.36,2600.0,2747.119703738202,6400.0,9.390065741417091,10.033307902623088,23.26880934989043,13346901.666666666,2076.6666666666665
Kangaroo-v5,native_obs,3,37392.82,2066.6666666666665,1225.6517540566822,3600.0,0.6753827243267404,0.4108788984434068,1.1894066376131411,7342675.666666667,3321.3333333333335
Kangaroo-v5,ram,3,37392.82,833.3333333333334,169.96731711975949,1000.0,0.2619287071181137,0.056978651397840946,0.31780087160576603,18012590.0,9016.0
Krull-v5,native_obs,3,291043.06,17013.333333333332,3575.3072906006587,22050.0,14.440593286494925,3.349233995878837,19.158782201405153,10010280.0,765.6666666666666
Krull-v5,ram,3,291043.06,11673.333333333334,8314.442588385318,23300.0,9.438251366120218,7.788705000829338,20.32974238875878,20006642.333333332,2807.3333333333335
KungFuMaster-v5,native_obs,3,267766.63,37200.0,26389.89705676524,58400.0,1.6434659975620391,1.1740427024337454,2.5866187972132506,7382536.666666667,574.3333333333334
KungFuMaster-v5,ram,3,267766.63,44433.333333333336,19074.29917163115,59200.0,1.9652649873801409,0.8485838992975803,2.622209468898202,14181285.0,1477.6666666666667
MontezumaRevenge-v5,native_obs,3,19093.74,133.33333333333334,188.56180831641268,400.0,0.028050687592479612,0.03966966282717537,0.08415206277743884,7662784.666666667,2020.0
MontezumaRevenge-v5,ram,3,19093.74,0.0,0.0,0.0,0.0,0.0,0.0,14518661.666666666,5427.333333333333
MsPacman-v5,native_obs,3,243401.1,2683.3333333333335,888.456839444413,3840.0,0.3576047639831635,0.13371714694466127,0.5316888159776049,785760.3333333334,357.3333333333333
MsPacman-v5,ram,3,243401.1,2612.0833333333335,1504.9862725472135,4740.0,0.3468812867169353,0.22650787480204287,0.6671432656562768,6905734.0,2979.3333333333335
NameThisGame-v5,native_obs,3,157177.85,6376.666666666667,711.8208263944578,7330.0,0.7094979183675832,0.12365084621301406,0.8751020549967864,20516826.666666668,1660.3333333333333
NameThisGame-v5,ram,3,157177.85,7536.666666666667,3176.0072767898723,12010.0,0.9110022524478724,0.551706233916979,1.688067816631056,16666827.666666666,1409.6666666666667
